cod_departamento,departamento,cod_municipio,municipio,ano,bajo_peso_nacer,controles_prenatales,fecundidad_adolescente,mortalidad_fetal,mortalidad_general,mortalidad_infantil,mortalidad_materna,mortalidad_neonatal,partos_cesarea,partos_institucionales
5,Antioquia,5001,Medellín,2011.0,12.31850117,6.451871102,86.92755491,82.89241623,6.8061996,12.65592516,67.56756757,8.887733888,38.48942441,99.77624464
76,Valle del Cauca,76001,Cali,2013,10.5666772,6.929399943,66.74999496,97.85536676,7.175977418,13.7525122,43.06632214,8.756818834,40.20446844,99.70316817
11,"Bogotá, D.C.",11001,"Bogotá, D.C.",2013.0,13.33442338,6.850859154,63.99833099,89.44968504,4.315926553,11.77948528,32.69689121,,42.30669948,99.8033518
76, VALLE DEL CAUCA ,76001,Cali,2011.0,10.96030517,6.567886561,71.74477333,25.90199246,7.020015835,15.1473271,80.15921278,,38.71458189,99.72558561
70,Sucre,70001,Sincelejo,2005,7.807692308,5.11003566,129.6017403,11.8298515,4.658326285,,50.94243505,4.202750891,52.80337942,99.71335505
23,CÓRDOBA,23001,Montería,2019.0,11.66287592,5.823700335,160.364936,113.3079422,9.646031536,23.43503253,82.11736466,17.30781378,76.73551892,99.85748526
27,Chocó,27001,Quibdó,2018,9.742120344,4.705244579,131.7766166,14.65838509,5.560433128,,,11.34644478,36.98940998,96.66062646
68,Santander,68001,Bucaramanga,2006,9.925739292,5.479326891,111.0476501,17.43848091,7.949677768,13.21238415,52.58660356,8.873989351,48.30066653,99.21896041
50,  Meta  ,50001,Villavicencio,2016,6.672621706,5.612326932,96.47326507,120.7885023,6.552550648,14.38142028,62.52791425,8.217954444,35.33720411,99.74515336
8,Atlántico,8638,Sabanalarga,2013,7.573632539,6.645327103,138.8429752,12.00369344,4.960090032,14.95327103,46.72897196,9.813084112,53.59813084,100.0
73,  Tolima  ,73001,Ibagué,2014.0,7.888454861,6.680970958,75.80553526,44.22578975,6.608793362,11.70351105,75.85609016,7.693974859,48.60208062,99.78966014
44,La Guajira,44430,Maicao,2007,4.77326969,4.483860007,86.60727326,12.08459215,2.193700727,7.815154604,,1.698946653,35.77762619,99.65671129
8,atlántico,8638,Sabanalarga,2014.0,7.326646315,6.38988225,150.1187648,10.35822184,5.336025382,15.69995639,87.22197994,12.64718709,56.86873092,100.0
68,Santander,68001,Bucaramanga,2011.0,12.70313573,6.367027769,110.9091715,47.79892489,6.684199201,10.83307904,53.40250229,7.628928898,58.23605707,98.62702024
8,atlántico,8638,Sabanalarga,2011.0,9.45709282,6.954028021,141.4611447,12.96456353,3.767704475,20.57793345,131.3485114,14.01050788,,99.95150339
41,Huila,41001,Neiva,2010,8.635824437,6.48793185,122.8505691,135.7873211,8.416153204,19.8769522,153.8097492,13.84287743,,99.57678356
27,Chocó,sin dato,Quibdó,2009,10.45576408,4.447058824,,19.3250649,6.260013833,36.76470588,176.4705882,22.94117647,31.99052133,98.88721805
5,Antioquia,5001,Medellín,2015,,7.450503013,86.14341994,110.8620469,7.21983572,10.92463204,24.01018032,6.770870849,34.77154313,99.85484784
50,Meta,50001,Villavicencio,2018,6.793225386,5.747464409,80.69831656,107.4661573,6.102575116,10.70066065,27.91476691,4.466362706,35.0423374,99.76321273
52,Nariño,52001,Pasto,2015.0,13.04297193,6.72109002,89.2179787,148.1995834,7.518301428,17.7011762,81.51857459,12.22778619,61.3136136,99.67868618
44,La Guajira,44650,San Juan Del Cesar,2008,8.051628765,5.086503067,190.4212349,16.88781665,4.57944467,9.81595092,61.34969325,6.748466258,57.82019704,99.36020473
5,antioquia,5001,Medellín,2007,,5.845313585,97.27099946,72.84626113,6.544548843,16.63966674,37.02846563,10.80768341,32.82739969,99.65823326
44, LA GUAJIRA ,44650,San Juan Del Cesar,2018.0,8.685843204,4.861534123,516.7310167,17.18403548,12.28791774,18.89452905,84.60236887,,64.80541455,99.91364421
8,Atlántico,8758,Soledad,2011.0,8.614137319,5.17781155,,9.284818068,1.121430205,7.092198582,101.3171226,4.30597771,,99.94887526
52,Nariño,52001,Pasto,2007,,5.877996624,,19.53211212,6.939688627,23.29769274,112.5492403,15.98199212,,99.0810935
68,Santander,68001,Bucaramanga,2010,11.96428571,6.204118029,99.40880228,27.74274905,7.673224815,13.8618677,56.74448768,8.592736706,58.95916213,99.85841592
8,,8758,Soledad,2015.0,,5.427889447,41.33716751,25.70379437,1.629590636,7.788944724,25.12562814,5.778894472,84.97487437,99.8733536
47,Magdalena,47189,Ciénaga,2006,8.38658147,4.411741214,126.2595106,13.00748916,3.835691501,23.1629393,119.8083067,15.17571885,,99.79355904
52,nariño,52835,San Andres De Tumaco,2016,5.479452055,4.777389277,93.28321298,12.08981002,3.216143471,8.158508159,116.5501166,,58.91608392,99.38162544
68,  Santander  ,"68,001",Bucaramanga,2019,10.27042787,6.747977553,,61.23426382,8.068699791,9.693171052,29.15239414,5.830478828,51.27177319,99.85046729
66,Risaralda,66001,Pereira,2009,9.879924163,6.412147961,111.2378496,38.10775296,8.852186312,14.50189155,73.56031946,8.301807482,29.19907505,99.52713595
17,Caldas,17001,Manizales,2016,11.18828609,7.608785433,58.37184017,15.34195933,8.659860214,14.64238784,18.7722921,8.635254365,32.43852074,99.7488408
19,CAUCA,19001,Popayán,2013,10.76517782,6.032211711,174.0914921,37.79237239,7.08447466,,71.84768291,8.262483535,44.84492875,99.84097859
19,Cauca,19001,Popayán,2006.0,10.5299667,5.348177583,145.4792116,15.64607499,6.961543368,17.95012332,54.80953686,10.00274048,39.62865457,99.08334509
8,Atlántico,8638,Sabanalarga,2017,,5.827169275,167.8832117,11.94659171,5.124421758,11.02418208,142.2475107,6.756756757,,100.0
52,Nariño,52356,Ipiales,2019.0,10.12567325,7.785637343,121.7410041,118.9496995,7.46603214,4.667863555,107.7199282,3.231597846,38.95870736,99.70813572
73,  Tolima  ,73001,Ibagué,2017,8.618734407,6.499943317,66.77284979,48.84623679,6.63740347,10.31629067,34.00974946,6.235120735,40.80036277,99.71051413
19,Cauca,19001,Popayán,2014.0,,6.177066356,165.2345764,46.2973243,7.567359311,10.47729919,46.56577416,8.614668219,45.37834692,99.79853046
5,Antioquia,5045,Apartadó,2019.0,8.864344378,6.218918153,135.31686,111.2509439,5.816425586,9.345794393,84.9617672,5.664117814,35.42905692,99.5968903
8,Atlántico,8638,Sabanalarga,2019,8.557306148,5.598702502,212.2944961,13.71115174,5.979073244,,30.89280198,11.73926475,54.00061786,99.9375
18,Caquetá,18001,Florencia,2012.0,6.87183074,5.294574983,222.9315001,9.243409791,5.527871984,10.1935038,120.9398756,5.528680028,44.35609334,98.27555868
8,Atlántico,8001,Barranquilla,2012,,5.838095808,126.196301,13.43133782,6.784599584,15.17010263,71.81113671,9.275605158,75.59019778,99.96331621
5,Antioquia,5001,Medellín,2014,11.76841415,7.309474587,87.93865709,109.0945846,6.902970477,10.8914885,25.21177894,6.933239209,,99.81153995
8,Atlántico,"87,58",Soledad,2009,6.75012273,5.243137255,36.6422115,13.53965184,1.45820205,7.843137255,49.01960784,5.147058824,,99.67669734
18,Caquetá,18001,Florencia,2018.0,6.055271959,5.490147783,164.0863242,62.51030843,5.614541608,7.21323012,52.77973258,5.629838142,,99.74937343
76,Valle del Cauca,76109,Buenaventura,2008,6.897217929,5.320632501,75.90284436,7.75047259,3.111569538,10.09716136,133.358735,6.66793675,26.90686087,-1.7
44,LA GUAJIRA,44650,San Juan Del Cesar,2019,9.149987003,4.632960749,,14.34793748,9.465352264,17.41616844,155.9656875,11.43748375,59.44892124,99.89423585
15,Boyacá,15001,Tunja,2014.0,15.24614254,6.729426892,118.9657217,15.90744758,9.498874849,12.30712711,,7.898603968,42.46877296,99.7731569
