"marca_vehiculo","modelo_vehiculo","tipo_vehiculo","edad_vehiculo","fecha_accidente","gravedad_accidente","departamento_accidente","municipio_accidente","autoridad_de_transito"
"AKT","2026","MOTOCICLETA","1","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2022","MOTOCICLETA","4","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"RENAULT","2021","AUTOMOVIL","5","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2017","MOTOCICLETA","10","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2014","MOTOCICLETA","11","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2011","MOTOCICLETA","15","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"RENAULT","2025","CAMIONETA","1","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"AKT","2021","MOTOCICLETA","6","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"RENAULT","2022","CAMIONETA","4","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"YAMAHA","2013","MOTOCICLETA","13","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2024","MOTOCICLETA","2","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2024","MOTOCICLETA","3","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2025","MOTOCICLETA","1","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"SIGMA","2018","MOTOCICLETA","8","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"AKT","2026","MOTOCICLETA","0","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"RENAULT","1994","AUTOMOVIL","31","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"RENAULT","2014","AUTOMOVIL","12","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"AKT","2024","MOTOCICLETA","3","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"AKT","2015","MOTOCICLETA","11","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2026","MOTOCICLETA","0","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"AKT","2023","MOTOCICLETA","4","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"TOYOTA","2019","CAMPERO","7","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"YAMAHA","2026","MOTOCICLETA","1","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2022","MOTOCICLETA","4","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2024","MOTOCICLETA","3","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2014","MOTOCICLETA","12","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"AKT","2026","MOTOCICLETA","1","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2012","MOTOCICLETA","14","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"INTERNATIONAL","2014","CAMION","12","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"AKT","2022","MOTOCICLETA","5","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"YAMAHA","2019","MOTOCICLETA","7","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"TOYOTA","2023","AUTOMOVIL","3","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"ROYAL ENFIELD","2026","MOTOCICLETA","1","12/2025","CON HERIDOS","BOYACA","TUNJA","STRIA DE TTOyTTE TUNJA"
"AKT","2022","MOTOCICLETA","5","12/2025","CON HERIDOS","BOYACA","TUNJA","STRIA DE TTOyTTE TUNJA"
