"c_d_dep","departamento","c_d_mun","municipio","grupo_de_cultivo","subgrupo_de_cultivo","cultivo","desagregaci_n_regional_y","a_o","periodo","rea_sembrada_ha","rea_cosechada_ha","producci_n_t","rendimiento_t_ha","estado_fisico_produccion","nombre_cientifico","ciclo_de_cultivo"
"25","CUNDINAMARCA","25524","PANDI","HORTALIZAS","CALABACIN","CALABACIN","ZUCCHINI","2018","2018A","5","5","25","5.00","HORTALIZA FRESCA","CUCURBITA PEPO","TRANSITORIO"
"25","CUNDINAMARCA","25807","TIBIRITA","HORTALIZAS","CALABACIN","CALABACIN","ZUCCHINI","2018","2018A","6","6","50","8.27","HORTALIZA FRESCA","CUCURBITA PEPO","TRANSITORIO"
"25","CUNDINAMARCA","25436","MANTA","HORTALIZAS","CALABACIN","CALABACIN","ZUCCHINI","2018","2018A","15","15","150","10.00","HORTALIZA FRESCA","CUCURBITA PEPO","TRANSITORIO"
"76","VALLE DEL CAUCA","76892","YUMBO","FRUTALES","ZAPOTE","ZAPOTE","ZAPOTE","2018","2018","2","2","24","12.00","FRUTO FRESCO","POUTERIA SAPOTA","PERMANENTE"
"76","VALLE DEL CAUCA","76520","PALMIRA","FRUTALES","ZAPOTE","ZAPOTE","ZAPOTE","2018","2018","3","2","40","20.00","FRUTO FRESCO","POUTERIA SAPOTA","PERMANENTE"
"76","VALLE DEL CAUCA","76036","ANDALUCIA","FRUTALES","ZAPOTE","ZAPOTE","ZAPOTE","2018","2018","10","10","120","12.00","FRUTO FRESCO","POUTERIA SAPOTA","PERMANENTE"
"76","VALLE DEL CAUCA","76364","JAMUNDI","FRUTALES","ZAPOTE","ZAPOTE","ZAPOTE","2018","2018","13","13","75","6.00","FRUTO FRESCO","POUTERIA SAPOTA","PERMANENTE"
"70","SUCRE","70265","GUARANDA","FRUTALES","ZAPOTE","ZAPOTE","ZAPOTE","2018","2018","58","51","342","6.70","FRUTO FRESCO","POUTERIA SAPOTA","PERMANENTE"
"68","SANTANDER","68160","CEPITA","FRUTALES","ZAPOTE","ZAPOTE","ZAPOTE","2018","2018","2","2","4","2.00","FRUTO FRESCO","POUTERIA SAPOTA","PERMANENTE"
"54","NORTE DE SANTANDER","54660","SALAZAR","FRUTALES","ZAPOTE","ZAPOTE","ZAPOTE","2018","2018","2","2","10","5.00","FRUTO FRESCO","POUTERIA SAPOTA","PERMANENTE"
"54","NORTE DE SANTANDER","54001","CUCUTA","FRUTALES","ZAPOTE","ZAPOTE","ZAPOTE","2018","2018","20","20","200","10.00","FRUTO FRESCO","POUTERIA SAPOTA","PERMANENTE"
"52","NARIÑO","52427","MAGUI PAYAN","FRUTALES","ZAPOTE","ZAPOTE","ZAPOTE","2018","2018","1","1","3","3.00","FRUTO FRESCO","POUTERIA SAPOTA","PERMANENTE"
"52","NARIÑO","52520","FRANCISCO PIZARRO","FRUTALES","ZAPOTE","ZAPOTE","ZAPOTE","2018","2018","10","10","30","3.00","FRUTO FRESCO","POUTERIA SAPOTA","PERMANENTE"
"52","NARIÑO","52835","TUMACO","FRUTALES","ZAPOTE","ZAPOTE","ZAPOTE","2018","2018","60","60","420","7.00","FRUTO FRESCO","POUTERIA SAPOTA","PERMANENTE"
"52","NARIÑO","52621","ROBERTO PAYAN","FRUTALES","ZAPOTE","ZAPOTE","ZAPOTE","2018","2018","60","60","540","9.00","FRUTO FRESCO","POUTERIA SAPOTA","PERMANENTE"
"52","NARIÑO","52490","OLAYA HERRERA","FRUTALES","ZAPOTE","ZAPOTE","ZAPOTE","2018","2018","84","34","272","8.00","FRUTO FRESCO","POUTERIA SAPOTA","PERMANENTE"
"50","META","50318","GUAMAL","FRUTALES","ZAPOTE","ZAPOTE","ZAPOTE","2018","2018","8","8","96","12.00","FRUTO FRESCO","POUTERIA SAPOTA","PERMANENTE"
"27","CHOCO","27413","LLORO","FRUTALES","ZAPOTE","ZAPOTE","ZAPOTE","2018","2018","17","2","6","3.00","FRUTO FRESCO","POUTERIA SAPOTA","PERMANENTE"
"15","BOYACA","15533","PAYA","FRUTALES","ZAPOTE","ZAPOTE","ZAPOTE","2018","2018","1","1","5","4.50","FRUTO FRESCO","POUTERIA SAPOTA","PERMANENTE"
"15","BOYACA","15753","SOATA","FRUTALES","ZAPOTE","ZAPOTE","ZAPOTE","2018","2018","3","3","18","6.00","FRUTO FRESCO","POUTERIA SAPOTA","PERMANENTE"
"15","BOYACA","15514","PAEZ","FRUTALES","ZAPOTE","ZAPOTE","ZAPOTE","2018","2018","6","6","66","11.00","FRUTO FRESCO","POUTERIA SAPOTA","PERMANENTE"
"13","BOLIVAR","13006","ACHI","FRUTALES","ZAPOTE","ZAPOTE","ZAPOTE","2018","2018","50","50","600","12.00","FRUTO FRESCO","POUTERIA SAPOTA","PERMANENTE"
"5","ANTIOQUIA","5142","CARACOLI","FRUTALES","ZAPOTE","ZAPOTE","ZAPOTE","2018","2018","3","3","16","5.18","FRUTO FRESCO","POUTERIA SAPOTA","PERMANENTE"
"5","ANTIOQUIA","5854","VALDIVIA","FRUTALES","ZAPOTE","ZAPOTE","ZAPOTE","2018","2018","24","24","168","7.00","FRUTO FRESCO","POUTERIA SAPOTA","PERMANENTE"
"5","ANTIOQUIA","5761","SOPETRAN","FRUTALES","ZAPOTE","ZAPOTE","ZAPOTE","2018","2018","31","31","419","13.50","FRUTO FRESCO","POUTERIA SAPOTA","PERMANENTE"
"76","VALLE DEL CAUCA","76892","YUMBO","HORTALIZAS","ZANAHORIA","ZANAHORIA","ZANAHORIA","2018","2018A","2","2","86","41.33","HORTALIZA FRESCA","UMBELLIFERAE","TRANSITORIO"
"76","VALLE DEL CAUCA","76001","CALI","HORTALIZAS","ZANAHORIA","ZANAHORIA","ZANAHORIA","2018","2018A","3","3","90","30.00","HORTALIZA FRESCA","UMBELLIFERAE","TRANSITORIO"
"76","VALLE DEL CAUCA","76111","BUGA","HORTALIZAS","ZANAHORIA","ZANAHORIA","ZANAHORIA","2018","2018A","5","5","150","30.00","HORTALIZA FRESCA","UMBELLIFERAE","TRANSITORIO"
"76","VALLE DEL CAUCA","76834","TULUA","HORTALIZAS","ZANAHORIA","ZANAHORIA","ZANAHORIA","2018","2018A","165","165","2475","15.00","HORTALIZA FRESCA","UMBELLIFERAE","TRANSITORIO"
"73","TOLIMA","73124","CAJAMARCA","HORTALIZAS","ZANAHORIA","ZANAHORIA","ZANAHORIA","2018","2018A","8","8","120","15.00","HORTALIZA FRESCA","UMBELLIFERAE","TRANSITORIO"
"73","TOLIMA","73622","RONCESVALLES","HORTALIZAS","ZANAHORIA","ZANAHORIA","ZANAHORIA","2018","2018A","75","75","1313","17.50","HORTALIZA FRESCA","UMBELLIFERAE","TRANSITORIO"
"68","SANTANDER","68207","CONCEPCION","HORTALIZAS","ZANAHORIA","ZANAHORIA","ZANAHORIA","2018","2018A","5","5","125","25.00","HORTALIZA FRESCA","UMBELLIFERAE","TRANSITORIO"
"68","SANTANDER","68669","SAN ANDRES","HORTALIZAS","ZANAHORIA","ZANAHORIA","ZANAHORIA","2018","2018A","6","6","124","20.54","HORTALIZA FRESCA","UMBELLIFERAE","TRANSITORIO"
"54","NORTE DE SANTANDER","54743","SILOS","HORTALIZAS","ZANAHORIA","ZANAHORIA","ZANAHORIA","2018","2018A","3","3","54","18.00","HORTALIZA FRESCA","UMBELLIFERAE","TRANSITORIO"
"54","NORTE DE SANTANDER","54125","CACOTA","HORTALIZAS","ZANAHORIA","ZANAHORIA","ZANAHORIA","2018","2018A","15","15","300","20.00","HORTALIZA FRESCA","UMBELLIFERAE","TRANSITORIO"
"54","NORTE DE SANTANDER","54518","PAMPLONA","HORTALIZAS","ZANAHORIA","ZANAHORIA","ZANAHORIA","2018","2018A","22","22","484","22.00","HORTALIZA FRESCA","UMBELLIFERAE","TRANSITORIO"
"54","NORTE DE SANTANDER","54480","MUTISCUA","HORTALIZAS","ZANAHORIA","ZANAHORIA","ZANAHORIA","2018","2018A","50","50","1100","22.00","HORTALIZA FRESCA","UMBELLIFERAE","TRANSITORIO"
"54","NORTE DE SANTANDER","54174","CHITAGA","HORTALIZAS","ZANAHORIA","ZANAHORIA","ZANAHORIA","2018","2018A","52","52","832","16.00","HORTALIZA FRESCA","UMBELLIFERAE","TRANSITORIO"
"52","NARIÑO","52573","PUERRES","HORTALIZAS","ZANAHORIA","ZANAHORIA","ZANAHORIA","2018","2018A","5","5","100","20.00","HORTALIZA FRESCA","UMBELLIFERAE","TRANSITORIO"
"52","NARIÑO","52320","GUAITARILLA","HORTALIZAS","ZANAHORIA","ZANAHORIA","ZANAHORIA","2018","2018A","8","8","64","8.00","HORTALIZA FRESCA","UMBELLIFERAE","TRANSITORIO"
"52","NARIÑO","52356","IPIALES","HORTALIZAS","ZANAHORIA","ZANAHORIA","ZANAHORIA","2018","2018A","15","15","450","30.00","HORTALIZA FRESCA","UMBELLIFERAE","TRANSITORIO"
"52","NARIÑO","52323","GUALMATAN","HORTALIZAS","ZANAHORIA","ZANAHORIA","ZANAHORIA","2018","2018A","15","15","315","21.00","HORTALIZA FRESCA","UMBELLIFERAE","TRANSITORIO"
"52","NARIÑO","52585","PUPIALES","HORTALIZAS","ZANAHORIA","ZANAHORIA","ZANAHORIA","2018","2018A","18","18","324","18.00","HORTALIZA FRESCA","UMBELLIFERAE","TRANSITORIO"
"52","NARIÑO","52215","CORDOBA","HORTALIZAS","ZANAHORIA","ZANAHORIA","ZANAHORIA","2018","2018A","30","30","600","20.00","HORTALIZA FRESCA","UMBELLIFERAE","TRANSITORIO"
